Year,Week #,Ending,HHS Region 1,HHS Region 2,HHS Region 3,HHS Region 4,HHS Region 5,HHS Region 6,HHS Region 7,HHS Region 8,HHS Region 9,HHS Region 10,MA,MS,NC,RI,TX,TN,MS District 1,MS District 2,MS District 3,MS District 4,MS District 5,MS District 6,MS District 7,MS District 8,MS District 9,TN District 9 (Hamilton County (Chattanooga)),TN District 11 (East Tennessee Region),TN District 3 (Jackson-Madison County),TN District 10 (Knoxville-Knox County),TN District 4 (Mid-Cumberland Region),TN District 1 (Shelby County (Memphis)),TN District 5 (Nashville-Davidson County),TN District 12 (Northeast Region),TN District 6 (South Central Region),TN District 8 (Southeast Region),TN District 13 (Sullivan County (Tri-Cities)),TN District 7 (Upper Cumberland Region),TN District 2 (West Tennessee Region)
2013,32,8/10/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,33,8/17/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,34,8/24/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,35,8/31/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,36,9/7/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,37,9/14/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,38,9/21/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,39,9/28/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,40,10/5/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,41,10/12/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,42,10/19/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,43,10/26/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,44,11/2/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,45,11/9/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,46,11/16/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,47,11/23/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,48,11/30/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,49,12/7/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,50,12/14/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,51,12/21/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2013,52,12/28/2013,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,1,1/4/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,2,1/11/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,3,1/18/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,4,1/25/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,5,2/1/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,6,2/8/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,7,2/15/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,8,2/22/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,9,3/1/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,10,3/8/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,11,3/15/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,12,3/22/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,13,3/29/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,14,4/5/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,15,4/12/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,16,4/19/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,17,4/26/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,18,5/3/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,19,5/10/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,20,5/17/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,21,5/24/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,22,5/31/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,23,6/7/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,24,6/14/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,25,6/21/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,26,6/28/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,27,7/5/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,28,7/12/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,29,7/19/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,30,7/26/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,31,8/2/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,32,8/9/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,33,8/16/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,34,8/23/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,35,8/30/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,36,9/6/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,37,9/13/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,38,9/20/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,39,9/27/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,40,10/4/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,41,10/11/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,42,10/18/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,43,10/25/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,44,11/1/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,45,11/8/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,46,11/15/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,47,11/22/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,48,11/29/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,49,12/6/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,50,12/13/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,51,12/20/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,52,12/27/2014,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2014,53,1/3/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,1,1/10/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,2,1/17/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,3,1/24/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,4,1/31/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,5,2/7/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,6,2/14/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,7,2/21/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,8,2/28/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,9,3/7/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,10,3/14/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,11,3/21/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,12,3/28/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,13,4/4/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,14,4/11/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,15,4/18/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,16,4/25/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,17,5/2/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,18,5/9/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,19,5/16/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,20,5/23/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,21,5/30/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,22,6/6/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,23,6/13/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,24,6/20/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,25,6/27/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,26,7/4/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,27,7/11/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,28,7/18/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2015,29,7/25/2015,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,45000,45000,45000,45000,45000,45000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
