Year,Week #,Ending,FL,NC,TN,AL,GA,MS,SC,KY
2013,32,8/10/2013,1.63E-05,1.60E-05,1.30E-05,1.92E-05,2.05E-05,9.02E-06,1.47E-05,1.06E-05
2013,33,8/17/2013,2.05E-05,1.64E-05,1.51E-05,2.06E-05,2.37E-05,9.02E-06,1.68E-05,1.06E-05
2013,34,8/24/2013,1.93E-05,1.60E-05,1.63E-05,2.23E-05,2.05E-05,9.02E-06,1.80E-05,1.06E-05
2013,35,8/31/2013,2.05E-05,1.64E-05,1.80E-05,2.95E-05,2.64E-05,8.35E-06,2.05E-05,1.72E-05
2013,36,9/7/2013,3.05E-05,2.42E-05,2.49E-05,4.87E-05,2.64E-05,9.02E-06,2.30E-05,2.31E-05
2013,37,9/14/2013,3.28E-05,2.80E-05,3.21E-05,5.92E-05,3.03E-05,1.00E-05,2.65E-05,2.63E-05
2013,38,9/21/2013,3.54E-05,3.60E-05,3.94E-05,7.63E-05,3.62E-05,1.94E-05,3.04E-05,3.33E-05
2013,39,9/28/2013,4.12E-05,4.86E-05,5.36E-05,8.10E-05,4.89E-05,2.14E-05,3.87E-05,4.92E-05
2013,40,10/5/2013,4.49E-05,5.03E-05,5.37E-05,8.10E-05,5.30E-05,2.97E-05,5.81E-05,5.10E-05
2013,41,10/12/2013,4.50E-05,5.36E-05,5.36E-05,7.53E-05,5.81E-05,3.17E-05,5.81E-05,5.91E-05
2013,42,10/19/2013,5.70E-05,5.37E-05,5.88E-05,7.53E-05,6.20E-05,4.48E-05,6.21E-05,6.37E-05
2013,43,10/26/2013,5.70E-05,5.37E-05,6.23E-05,7.71E-05,6.03E-05,4.48E-05,5.59E-05,6.37E-05
2013,44,11/2/2013,4.91E-05,5.28E-05,6.23E-05,8.06E-05,6.03E-05,4.48E-05,6.81E-05,6.37E-05
2013,45,11/9/2013,4.91E-05,4.92E-05,6.23E-05,8.06E-05,6.01E-05,4.34E-05,6.50E-05,5.01E-05
2013,46,11/16/2013,4.91E-05,4.35E-05,5.41E-05,8.08E-05,5.91E-05,4.34E-05,6.50E-05,4.35E-05
2013,47,11/23/2013,4.40E-05,3.83E-05,4.95E-05,8.08E-05,5.29E-05,4.38E-05,5.09E-05,3.78E-05
2013,48,11/30/2013,4.40E-05,3.83E-05,4.95E-05,8.08E-05,5.29E-05,4.48E-05,5.09E-05,3.78E-05
2013,49,12/7/2013,4.64E-05,6.14E-05,6.57E-05,0.000113004,7.20E-05,4.64E-05,7.74E-05,5.05E-05
2013,50,12/14/2013,4.96E-05,6.50E-05,8.09E-05,0.000124758,7.90E-05,5.24E-05,8.03E-05,5.17E-05
2013,51,12/21/2013,4.96E-05,6.14E-05,8.79E-05,0.000124758,7.90E-05,5.24E-05,7.97E-05,6.43E-05
2013,52,12/28/2013,4.96E-05,6.50E-05,9.76E-05,0.000130532,7.90E-05,6.51E-05,8.46E-05,7.14E-05
2014,1,1/4/2014,6.49E-05,0.000120274,0.000150397,0.000139606,8.74E-05,7.01E-05,0.000112572,0.000121673
2014,2,1/11/2014,7.93E-05,0.000120274,0.000188874,0.000139606,8.74E-05,7.01E-05,0.000112572,0.000121673
2014,3,1/18/2014,9.53E-05,0.000102675,0.000188874,0.000113623,8.35E-05,5.95E-05,0.000104708,0.000110571
2014,4,1/25/2014,8.41E-05,0.000102173,0.000133754,0.000103518,7.56E-05,5.21E-05,0.000102018,0.000106719
2014,5,2/1/2014,8.41E-05,7.83E-05,9.24E-05,0.000100425,6.82E-05,4.28E-05,0.00010119,7.55E-05
2014,6,2/8/2014,5.93E-05,5.93E-05,8.52E-05,6.19E-05,4.44E-05,4.24E-05,6.44E-05,5.37E-05
2014,7,2/15/2014,4.52E-05,5.80E-05,5.53E-05,5.94E-05,4.11E-05,2.77E-05,5.42E-05,5.35E-05
2014,8,2/22/2014,4.43E-05,4.38E-05,4.79E-05,5.69E-05,3.43E-05,2.27E-05,4.32E-05,4.17E-05
2014,9,3/1/2014,3.51E-05,4.17E-05,3.34E-05,4.97E-05,3.25E-05,1.57E-05,3.29E-05,3.60E-05
2014,10,3/8/2014,2.84E-05,3.48E-05,3.33E-05,3.96E-05,2.45E-05,1.17E-05,2.48E-05,3.31E-05
2014,11,3/15/2014,2.77E-05,3.24E-05,2.49E-05,3.96E-05,2.45E-05,1.17E-05,2.07E-05,3.04E-05
2014,12,3/22/2014,2.77E-05,2.66E-05,2.44E-05,4.23E-05,2.34E-05,1.17E-05,2.07E-05,2.70E-05
2014,13,3/29/2014,2.77E-05,2.53E-05,2.18E-05,4.23E-05,2.34E-05,1.37E-05,2.28E-05,2.36E-05
2014,14,4/5/2014,2.85E-05,2.53E-05,2.18E-05,3.90E-05,2.25E-05,1.10E-05,2.86E-05,2.54E-05
2014,15,4/12/2014,2.77E-05,2.53E-05,2.05E-05,3.73E-05,2.17E-05,1.10E-05,2.28E-05,2.06E-05
2014,16,4/19/2014,2.32E-05,2.41E-05,1.48E-05,2.99E-05,2.08E-05,9.35E-06,1.66E-05,1.86E-05
2014,17,4/26/2014,2.24E-05,2.28E-05,1.37E-05,2.45E-05,1.76E-05,7.68E-06,1.61E-05,1.72E-05
2014,18,5/3/2014,2.09E-05,1.82E-05,1.45E-05,2.64E-05,1.43E-05,6.68E-06,1.61E-05,1.40E-05
2014,19,5/10/2014,2.00E-05,1.78E-05,1.18E-05,2.43E-05,1.31E-05,6.01E-06,1.55E-05,1.09E-05
2014,20,5/17/2014,1.98E-05,1.39E-05,1.10E-05,2.17E-05,1.28E-05,6.01E-06,1.39E-05,1.06E-05
2014,21,5/24/2014,1.61E-05,1.21E-05,1.01E-05,1.90E-05,1.21E-05,5.68E-06,1.10E-05,1.06E-05
2014,22,5/31/2014,1.61E-05,1.21E-05,1.10E-05,1.90E-05,1.28E-05,5.68E-06,1.10E-05,1.06E-05
2014,23,6/7/2014,2.12E-05,1.51E-05,1.19E-05,2.17E-05,1.54E-05,6.68E-06,1.57E-05,1.56E-05
2014,24,6/14/2014,2.12E-05,1.51E-05,1.19E-05,2.45E-05,1.54E-05,7.68E-06,1.57E-05,1.56E-05
2014,25,6/21/2014,1.54E-05,1.11E-05,1.19E-05,2.21E-05,1.43E-05,7.35E-06,1.10E-05,1.18E-05
2014,26,6/28/2014,1.54E-05,1.11E-05,1.22E-05,2.23E-05,1.26E-05,7.35E-06,1.10E-05,8.61E-06
2014,27,7/5/2014,1.90E-05,1.10E-05,1.50E-05,2.23E-05,1.43E-05,5.68E-06,1.20E-05,9.52E-06
2014,28,7/12/2014,1.90E-05,1.10E-05,1.86E-05,2.23E-05,1.26E-05,5.68E-06,1.20E-05,8.84E-06
2014,29,7/19/2014,1.62E-05,1.09E-05,1.86E-05,1.96E-05,1.25E-05,5.68E-06,1.20E-05,8.84E-06
2014,30,7/26/2014,1.53E-05,1.09E-05,1.86E-05,1.92E-05,1.25E-05,6.35E-06,1.20E-05,8.84E-06
2014,31,8/2/2014,1.53E-05,1.20E-05,2.21E-05,1.92E-05,1.52E-05,7.35E-06,1.10E-05,9.52E-06
2014,32,8/9/2014,1.59E-05,1.29E-05,2.21E-05,1.92E-05,1.96E-05,8.35E-06,1.10E-05,1.11E-05
2014,33,8/16/2014,1.59E-05,1.40E-05,1.31E-05,1.94E-05,1.96E-05,8.35E-06,1.10E-05,1.11E-05
2014,34,8/23/2014,1.59E-05,1.40E-05,1.31E-05,2.64E-05,1.96E-05,8.35E-06,1.22E-05,1.11E-05
2014,35,8/30/2014,1.70E-05,1.44E-05,1.50E-05,3.16E-05,2.05E-05,8.68E-06,1.32E-05,1.52E-05
2014,36,9/6/2014,2.26E-05,1.84E-05,1.88E-05,3.16E-05,2.13E-05,1.04E-05,1.97E-05,1.70E-05
2014,37,9/13/2014,2.59E-05,2.33E-05,2.40E-05,3.81E-05,2.49E-05,1.07E-05,2.26E-05,2.42E-05
2014,38,9/20/2014,3.71E-05,3.52E-05,3.88E-05,3.81E-05,3.40E-05,2.27E-05,3.46E-05,3.26E-05
2014,39,9/27/2014,3.92E-05,4.57E-05,3.88E-05,6.72E-05,4.14E-05,2.77E-05,4.41E-05,4.12E-05
2014,40,10/4/2014,5.41E-05,6.79E-05,6.63E-05,7.88E-05,6.09E-05,3.57E-05,5.32E-05,4.85E-05
2014,41,10/11/2014,5.76E-05,8.54E-05,7.27E-05,9.49E-05,7.12E-05,4.21E-05,7.20E-05,6.68E-05
2014,42,10/18/2014,5.97E-05,8.54E-05,7.05E-05,9.49E-05,7.12E-05,4.34E-05,7.20E-05,6.68E-05
2014,43,10/25/2014,5.97E-05,7.32E-05,7.05E-05,7.63E-05,6.95E-05,4.34E-05,5.94E-05,5.96E-05
2014,44,11/1/2014,5.04E-05,6.00E-05,5.89E-05,5.79E-05,5.34E-05,3.97E-05,5.94E-05,5.42E-05
2014,45,11/8/2014,5.02E-05,5.64E-05,5.10E-05,5.69E-05,5.33E-05,3.71E-05,4.90E-05,5.30E-05
2014,46,11/15/2014,5.04E-05,5.04E-05,5.10E-05,5.69E-05,5.34E-05,3.67E-05,3.52E-05,5.30E-05
2014,47,11/22/2014,4.27E-05,4.44E-05,4.47E-05,5.69E-05,4.54E-05,2.87E-05,3.25E-05,5.08E-05
2014,48,11/29/2014,5.10E-05,5.04E-05,6.32E-05,6.68E-05,5.74E-05,3.67E-05,3.52E-05,5.08E-05
2014,49,12/6/2014,6.24E-05,6.71E-05,6.64E-05,8.87E-05,8.14E-05,5.14E-05,5.90E-05,6.80E-05
2014,50,12/13/2014,6.24E-05,7.32E-05,7.88E-05,9.16E-05,9.71E-05,6.38E-05,7.59E-05,9.63E-05
2014,51,12/20/2014,5.45E-05,8.14E-05,0.000126272,0.000109086,9.71E-05,7.15E-05,8.73E-05,0.000124392
2014,52,12/27/2014,5.45E-05,9.86E-05,0.000136044,0.000109292,9.56E-05,7.62E-05,0.000102432,0.000149543
2014,53,1/3/2015,7.85E-05,0.000148432,0.000211929,0.000109086,9.01E-05,7.15E-05,0.000130161,0.000127791
2015,1,1/10/2015,7.85E-05,0.000148432,0.000211929,0.000106405,8.78E-05,5.24E-05,0.000130161,0.000127791
2015,2,1/17/2015,6.50E-05,0.000120173,0.000135433,7.90E-05,7.69E-05,4.91E-05,0.000111951,7.64E-05
2015,3,1/24/2015,5.46E-05,9.60E-05,8.93E-05,7.79E-05,5.57E-05,4.64E-05,7.22E-05,7.00E-05
2015,4,1/31/2015,5.12E-05,7.33E-05,8.25E-05,7.13E-05,5.48E-05,4.64E-05,6.62E-05,5.64E-05
2015,5,2/7/2015,4.26E-05,7.06E-05,8.17E-05,7.07E-05,4.00E-05,4.64E-05,6.15E-05,4.31E-05
2015,6,2/14/2015,3.31E-05,5.38E-05,5.97E-05,6.39E-05,4.00E-05,2.81E-05,5.13E-05,3.58E-05
2015,7,2/21/2015,3.25E-05,4.78E-05,3.94E-05,6.15E-05,4.00E-05,2.77E-05,4.90E-05,3.22E-05
2015,8,2/28/2015,3.09E-05,3.81E-05,3.91E-05,6.06E-05,4.00E-05,2.64E-05,4.22E-05,2.88E-05
2015,9,3/7/2015,3.05E-05,3.73E-05,3.42E-05,5.38E-05,3.87E-05,2.77E-05,3.89E-05,2.85E-05
2015,10,3/14/2015,2.85E-05,3.41E-05,3.42E-05,3.92E-05,3.68E-05,2.64E-05,3.89E-05,2.65E-05
2015,11,3/21/2015,2.31E-05,2.72E-05,2.47E-05,2.70E-05,2.32E-05,1.97E-05,2.44E-05,2.04E-05
2015,12,3/28/2015,2.24E-05,2.26E-05,1.89E-05,2.43E-05,1.87E-05,1.84E-05,2.01E-05,1.95E-05
2015,13,4/4/2015,2.24E-05,2.26E-05,1.76E-05,2.43E-05,1.87E-05,1.40E-05,1.66E-05,2.04E-05
2015,14,4/11/2015,2.32E-05,2.44E-05,1.89E-05,2.43E-05,2.64E-05,1.40E-05,1.66E-05,2.18E-05
2015,15,4/18/2015,2.65E-05,2.74E-05,2.70E-05,2.47E-05,3.47E-05,1.64E-05,2.32E-05,2.18E-05
2015,16,4/25/2015,2.65E-05,2.74E-05,2.70E-05,2.47E-05,3.47E-05,1.64E-05,2.32E-05,2.02E-05
2015,17,5/2/2015,2.17E-05,1.92E-05,1.85E-05,1.84E-05,2.81E-05,1.37E-05,1.22E-05,1.45E-05
2015,18,5/9/2015,2.06E-05,1.92E-05,1.85E-05,1.84E-05,2.79E-05,1.37E-05,1.22E-05,1.45E-05
2015,19,5/16/2015,2.17E-05,2.04E-05,1.71E-05,2.06E-05,2.81E-05,1.07E-05,1.26E-05,1.52E-05
2015,20,5/23/2015,2.36E-05,2.06E-05,1.71E-05,2.10E-05,2.79E-05,1.17E-05,1.51E-05,1.52E-05
2015,21,5/30/2015,2.36E-05,2.18E-05,1.63E-05,2.21E-05,2.65E-05,1.07E-05,1.63E-05,1.13E-05
2015,22,6/6/2015,2.11E-05,2.18E-05,1.63E-05,2.41E-05,2.65E-05,1.17E-05,1.61E-05,1.13E-05
2015,23,6/13/2015,2.03E-05,2.18E-05,1.63E-05,2.21E-05,2.65E-05,1.00E-05,1.61E-05,1.18E-05
2015,24,6/20/2015,1.41E-05,1.48E-05,9.62E-06,2.19E-05,2.17E-05,6.68E-06,1.26E-05,1.18E-05
2015,25,6/27/2015,1.26E-05,1.17E-05,9.62E-06,1.98E-05,1.85E-05,6.68E-06,1.26E-05,9.97E-06
2015,26,7/4/2015,1.19E-05,1.17E-05,1.07E-05,1.98E-05,1.85E-05,7.01E-06,1.35E-05,8.84E-06
2015,27,7/11/2015,1.19E-05,1.25E-05,1.10E-05,1.98E-05,1.87E-05,7.68E-06,1.41E-05,8.61E-06
2015,28,7/18/2015,1.19E-05,2.16E-05,1.07E-05,1.55E-05,1.87E-05,8.35E-06,1.35E-05,7.93E-06
2015,29,7/25/2015,1.19E-05,2.16E-05,9.92E-06,1.05E-05,1.77E-05,8.35E-06,1.30E-05,7.93E-06
