Week,D01.all,D01.allV%,D01.65+,D01.65+V%,D02.all,D02.allV%,D02.65+,D02.65+V%,D03.all,D03.allV%,D03.65+,D03.65+V%,D04.all,D04.allV%,D04.65+,D04.65+V%,D05.all,D05.allV%,D05.65+,D05.65+V%,D06.all,D06.allV%,D06.65+,D06.65+V%,D07.all,D07.allV%,D07.65+,D07.65+V%,D08.all,D08.allV%,D08.65+,D08.65+V%,D09.all,D09.allV%,D09.65+,D09.65+V%,D10.all,D10.allV%,D10.65+,D10.65+V%,D11.all,D11.allV%,D11.65+,D11.65+V%,D12.all,D12.allV%,D12.65+,D12.65+V%,D13.all,D13.allV%,D13.65+,D13.65+V%,TN.all,TN.allV%,TN.65+,TN.65+V%
2012.32,39944,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,37006,0.14,0,0.00,36139,0.09,0,0.00,12556,0.50,0,0.00,23063,0.14,0,0.00,5378,0.20,0,0.00,33169,0.14,0,0.00,33552,0.25,0,0.00,22367,0.45,0,0.00,8089,0.19,0,0.00,13463,0.14,0,0.00,264726,0.18,0,0.00
2012.33,39944,0.34,31781,0.33,17364,0.41,0,0.00,11620,0.20,0,0.00,67091,0.46,18904,0.61,36139,0.46,30353,0.46,36680,0.68,6469,0.88,34318,0.38,19729,0.30,29879,0.65,0,0.00,33169,0.80,27955,0.88,33552,0.95,28137,1.02,69514,0.82,5473,1.75,30162,0.33,0,0.00,13463,0.48,10494,0.49,452895,0.57,179295,0.65
2012.34,39944,0.75,31781,0.76,70316,0.62,9401,1.07,11620,0.59,9463,0.57,72325,1.22,41912,1.35,36139,1.33,30353,1.36,46081,1.35,14669,2.38,43793,1.00,19729,1.14,40844,1.34,14740,1.73,33169,1.83,27955,1.97,33552,2.44,28137,2.64,69514,1.90,36843,2.22,32651,0.79,16459,0.73,13463,1.08,10494,1.05,543411,1.27,291936,1.56
2012.35,39944,2.48,31781,2.11,75641,1.91,43251,2.07,11620,1.29,9463,1.18,76511,3.03,61143,3.12,36139,3.02,30353,3.12,49610,3.06,37183,3.24,52319,2.63,32869,3.02,40844,3.10,24155,3.59,33169,3.43,27955,3.71,33552,5.05,28137,5.43,69514,3.88,53057,4.19,35250,1.80,25814,1.97,13463,2.41,10494,2.46,567576,2.93,415655,3.16
2012.36,39944,4.55,31781,4.20,75641,3.88,57115,3.91,11620,3.26,9463,3.05,76511,6.11,62194,6.35,36139,6.09,30353,6.46,50151,5.58,38398,5.97,52319,5.63,39211,6.09,40844,5.60,30959,5.97,33169,6.15,27955,6.61,33552,9.04,28137,9.67,69514,6.96,55014,7.48,35952,4.20,27855,4.53,13463,4.78,10494,5.10,568819,5.64,448929,5.96
2012.37,39944,7.09,31781,7.00,75641,6.54,61479,6.69,11620,5.80,9463,5.63,76511,10.25,64402,10.66,36139,10.76,30353,11.51,50151,9.38,41218,9.84,52319,10.23,41753,10.90,40844,9.12,32626,9.69,33169,10.49,27955,10.85,33552,13.99,28137,14.97,69514,11.14,55014,12.11,35952,7.69,27855,8.48,13463,8.56,10494,9.36,568819,9.46,462530,10.00
2012.38,39944,10.39,31781,10.46,75641,10.17,61479,10.54,11620,9.68,9463,9.64,76511,15.91,64402,16.77,36139,17.14,30353,18.46,50151,14.33,41218,15.12,52319,15.88,41753,16.99,40844,13.72,32626,14.85,33169,15.51,27955,16.20,33552,20.32,28137,21.89,69514,16.25,55014,17.78,35952,11.67,27855,12.87,13463,13.26,10494,14.67,568819,14.36,462530,15.33
2012.39,39944,14.65,31781,15.13,75641,15.83,61479,16.52,11620,15.18,9463,15.15,76511,22.58,64402,23.87,36139,23.85,30353,25.77,50151,20.28,41218,21.47,52319,22.45,42301,23.87,40844,19.51,32626,21.23,33169,22.03,27955,23.27,33552,27.72,28137,29.89,69514,21.98,55014,24.04,35952,16.80,28352,18.41,13463,18.37,10494,20.41,568819,20.35,463575,21.78
2012.40,39944,19.65,31781,20.69,75706,22.31,61479,23.51,11620,21.44,9463,22.00,76511,29.15,64402,30.99,36139,30.04,30353,32.41,50151,26.55,41218,28.17,52319,28.29,42301,30.03,40844,25.38,32626,27.73,33169,27.58,27955,29.33,33552,34.24,28137,36.97,69514,27.54,55014,30.16,35952,22.24,28352,24.46,13463,24.20,10494,26.87,568884,26.35,463575,28.31
2012.41,39944,24.41,31781,26.05,75706,28.98,61479,30.83,11620,27.68,9463,28.79,76511,35.18,64402,37.56,36139,35.46,30353,38.21,50151,32.19,41691,34.14,52319,34.33,42301,36.50,40844,30.98,32626,33.88,33169,33.83,27955,36.06,33552,39.85,28137,43.00,69514,32.55,55014,35.68,35952,27.20,28352,30.03,13463,30.10,10494,33.48,568884,32.07,464048,34.54
2012.42,39944,28.24,31781,30.33,75706,34.53,61479,36.89,11620,33.78,9463,35.50,76511,39.65,64402,42.32,36139,39.68,30353,42.72,50151,36.60,41691,38.94,52319,38.75,42301,41.22,40844,34.93,32626,38.22,33169,38.12,27955,40.68,33552,44.11,28137,47.61,69514,36.54,55014,40.02,35952,31.62,28352,34.98,13463,34.49,10494,38.30,568884,36.52,464048,39.38
2012.43,39944,31.49,31781,33.93,75706,38.79,61479,41.45,11620,38.09,9463,40.37,76511,42.88,64402,45.76,36139,42.89,30353,46.13,50151,40.33,41691,42.97,52319,42.32,42301,44.97,40844,38.17,32626,41.75,33169,41.45,27955,44.26,33552,47.47,28137,51.17,69514,39.67,55014,43.43,35952,35.09,28352,38.67,13463,38.25,10494,42.47,568884,40.02,464048,43.14
2012.44,39944,33.96,31781,36.65,75706,42.05,61479,44.93,11620,41.68,9463,44.27,76511,45.59,64402,48.59,36139,45.53,30353,48.92,50151,43.37,41691,46.23,52319,45.25,42301,48.07,40844,40.30,32626,43.98,33169,44.12,27955,47.02,33552,49.84,28137,53.66,69514,42.08,55014,46.03,35952,37.78,28352,41.69,13463,41.21,10494,45.81,568884,42.75,464048,46.06
2012.45,39944,36.11,31781,38.97,75706,44.65,61479,47.74,11620,44.27,9463,47.07,76511,47.79,64402,50.96,36139,47.53,30353,51.05,50151,45.83,41691,48.89,52319,47.14,42301,50.06,40844,42.05,32626,45.84,33169,46.06,27955,49.05,33552,51.86,28137,55.81,69514,44.05,55014,48.18,35952,39.93,28352,44.04,13463,43.36,10494,48.09,568884,44.90,464048,48.37
2012.46,39944,37.00,31781,39.91,75706,45.81,61479,48.96,11620,45.44,9463,48.29,76511,48.70,64402,51.88,36139,48.57,30353,52.11,50151,46.83,41691,49.97,52319,48.04,42301,50.97,40844,42.92,32626,46.76,33169,46.93,27955,49.98,33552,52.70,28137,56.69,69514,44.92,55014,49.08,35952,40.94,28352,45.09,13463,44.61,10494,49.42,568884,45.86,464048,49.37
2012.47,39944,38.26,31781,41.28,75706,47.36,61479,50.61,11620,47.24,9463,50.23,76511,50.13,64402,53.38,36139,49.93,30353,53.54,50151,48.36,41691,51.57,52319,49.53,42301,52.50,40844,44.05,32626,47.99,33169,48.20,27955,51.27,33552,54.05,28137,58.12,69514,46.09,55014,50.30,35952,42.21,28352,46.50,13463,46.02,10494,50.92,568884,47.24,464048,50.83
2012.48,39944,40.35,31781,43.62,75706,49.66,61479,53.10,11620,50.67,9463,53.97,76511,52.24,64402,55.62,36139,52.14,30353,55.94,50151,50.54,41691,53.86,52319,51.46,42301,54.50,40844,45.84,32626,49.92,33169,50.06,27955,53.27,33552,56.04,28137,60.24,69514,47.89,55014,52.21,35952,44.30,28352,48.75,13463,48.27,10494,53.26,568884,49.31,464048,53.05
2012.49,39944,41.82,31781,45.22,75706,50.98,61479,54.43,11620,52.40,9463,55.78,76511,53.47,64402,56.87,36139,53.45,30353,57.32,50151,51.83,41691,55.17,52319,52.62,42301,55.69,40844,46.98,32626,51.09,33169,51.47,27955,54.74,33552,57.11,28137,61.33,69514,48.92,55014,53.30,35952,45.61,28352,50.12,13463,49.44,10494,54.46,568884,50.56,464048,54.34
2012.50,39944,42.51,31781,45.96,75706,51.51,61479,54.96,11620,53.12,9463,56.36,76511,54.08,64402,57.49,36139,54.21,30353,58.07,50151,52.43,41691,55.76,52319,53.13,42301,56.20,40844,47.53,32626,51.65,33169,52.15,27955,55.42,33552,57.59,28137,61.82,69514,49.45,55014,53.82,35952,46.23,28352,50.77,13463,50.17,10494,55.21,568884,51.15,464048,54.94
2012.51,39944,42.70,31781,46.16,75706,51.65,61479,55.10,11620,53.27,9463,56.48,76511,54.28,64402,57.69,36139,54.40,30353,58.26,50151,52.59,41691,55.92,52319,53.30,42301,56.36,40844,47.70,32626,51.83,33169,52.38,27955,55.66,33552,57.79,28137,62.03,69514,49.61,55014,53.98,35952,46.50,28352,51.02,13463,50.34,10494,55.38,568884,51.33,464048,55.12
2012.52,39944,42.99,31781,46.46,75706,51.83,61479,55.28,11620,53.47,9463,56.69,76511,54.51,64402,57.91,36139,54.60,30353,58.45,50151,52.80,41691,56.14,52319,53.50,42301,56.55,40844,48.04,32626,52.16,33169,52.59,27955,55.88,33552,57.99,28137,62.23,69514,49.80,55014,54.17,35952,46.75,28352,51.23,13463,50.64,10494,55.66,568884,51.56,464048,55.34
2013.01,39944,44.18,31781,47.80,75706,52.61,61479,56.11,11620,54.07,9463,57.31,76511,55.32,64402,58.76,36139,55.37,30353,59.25,50151,53.53,41691,56.88,52319,54.18,42301,57.26,40844,48.99,32626,53.16,33169,53.88,27955,57.29,33552,58.77,28137,63.06,69514,50.72,55014,55.14,35952,47.61,28352,52.12,13463,51.44,10494,56.48,568884,52.42,464048,56.25
2013.02,39944,44.84,31781,48.50,75706,53.03,61479,56.53,11620,54.46,9463,57.62,76511,55.79,64402,59.22,36139,55.92,30353,59.79,50151,53.95,41691,57.30,52319,54.64,42301,57.73,40844,49.57,32626,53.73,33169,54.61,27955,58.02,33552,59.23,28137,63.54,69514,51.22,55014,55.63,35952,48.03,28352,52.51,13463,51.84,10494,56.91,568884,52.91,464048,56.74
2013.03,39944,45.14,31781,48.81,75706,53.18,61479,56.68,11620,54.69,9463,57.87,76511,55.97,64402,59.39,36139,56.15,30353,60.00,50151,54.11,41691,57.45,52319,54.76,42301,57.83,40844,49.74,32626,53.89,33169,54.91,27955,58.31,33552,59.40,28137,63.69,69514,51.38,55014,55.79,35952,48.19,28352,52.64,13463,52.00,10494,57.04,568884,53.10,464048,56.92
2013.04,39944,45.34,31781,49.00,75706,53.29,61479,56.77,11620,54.80,9463,57.99,76511,56.07,64402,59.48,36139,56.31,30353,60.15,50151,54.19,41691,57.52,52319,54.83,42301,57.90,40844,49.88,32626,54.04,33169,55.01,27955,58.41,33552,59.50,28137,63.78,69514,51.47,55014,55.86,35952,48.26,28352,52.71,13463,52.09,10494,57.14,568884,53.20,464048,57.01
2013.05,39944,45.43,31781,49.08,75706,53.35,61479,56.82,11620,54.83,9463,58.02,76511,56.12,64402,59.52,36139,56.40,30353,60.22,50151,54.24,41691,57.56,52319,54.87,42301,57.93,40844,49.94,32626,54.07,33169,55.08,27955,58.47,33552,59.58,28137,63.85,69514,51.53,55014,55.90,35952,48.30,28352,52.74,13463,52.16,10494,57.19,568884,53.26,464048,57.06
2013.06,39944,45.51,31781,49.15,75706,53.40,61479,56.86,11620,54.85,9463,58.03,76511,56.16,64402,59.56,36139,56.45,30353,60.26,50151,54.28,41691,57.58,52319,54.89,42301,57.95,40844,49.96,32626,54.08,33169,55.13,27955,58.53,33552,59.60,28137,63.87,69514,51.58,55014,55.94,35952,48.34,28352,52.79,13463,52.19,10494,57.19,568884,53.30,464048,57.10
2013.07,39944,45.56,31781,49.20,75706,53.41,61479,56.87,11620,54.87,9463,58.05,76511,56.18,64402,59.58,36139,56.49,30353,60.28,50151,54.30,41691,57.60,52319,54.89,42301,57.96,40844,49.99,32626,54.10,33169,55.17,27955,58.56,33552,59.61,28137,63.88,69514,51.59,55014,55.95,35952,48.36,28352,52.80,13463,52.20,10494,57.19,568884,53.32,464048,57.11
2013.08,39944,45.59,31781,49.21,75706,53.42,61479,56.88,11620,54.89,9463,58.06,76511,56.18,64402,59.59,36139,56.52,30353,60.31,50151,54.33,41691,57.62,52319,54.91,42301,57.97,40844,50.02,32626,54.12,33169,55.19,27955,58.58,33552,59.63,28137,63.89,69514,51.60,55014,55.96,35952,48.39,28352,52.83,13463,52.21,10494,57.19,568884,53.34,464048,57.13
2013.09,39944,45.61,31781,49.23,75706,53.43,61479,56.89,11620,54.91,9463,58.06,76511,56.21,64402,59.60,36139,56.54,30353,60.33,50151,54.34,41691,57.63,52319,54.92,42301,57.97,40844,50.03,32626,54.13,33169,55.22,27955,58.60,33552,59.64,28137,63.89,69514,51.62,55014,55.98,35952,48.40,28352,52.84,13463,52.22,10494,57.19,568884,53.36,464048,57.14
2013.10,39944,45.62,31781,49.24,75706,53.44,61479,56.90,11620,54.91,9463,58.06,76511,56.22,64402,59.61,36139,56.56,30353,60.34,50151,54.35,41691,57.63,52319,54.93,42301,57.98,40844,50.04,32626,54.14,33169,55.24,27955,58.62,33552,59.65,28137,63.90,69514,51.63,55014,55.98,35952,48.40,28352,52.84,13463,52.22,10494,57.19,568884,53.37,464048,57.15
2013.11,39944,45.64,31781,49.26,75706,53.45,61479,56.91,11620,54.93,9463,58.09,76511,56.24,64402,59.62,36139,56.57,30353,60.35,50151,54.36,41691,57.65,52319,54.94,42301,57.99,40844,50.05,32626,54.15,33169,55.25,27955,58.63,33552,59.66,28137,63.91,69514,51.63,55014,55.99,35952,48.41,28352,52.85,13463,52.23,10494,57.19,568884,53.38,464048,57.16
2013.12,39944,45.65,31781,49.27,75706,53.47,61479,56.92,11620,54.96,9463,58.09,76511,56.25,64402,59.63,36139,56.58,30353,60.35,50151,54.37,41691,57.65,52319,54.94,42301,57.99,40844,50.06,32626,54.15,33169,55.26,27955,58.64,33552,59.66,28137,63.91,69514,51.64,55014,55.99,35952,48.43,28352,52.86,13463,52.23,10494,57.19,568884,53.39,464048,57.17
2013.13,39944,45.66,31781,49.28,75706,53.47,61479,56.92,11620,54.96,9463,58.09,76511,56.25,64402,59.64,36139,56.58,30353,60.36,50151,54.38,41691,57.66,52319,54.95,42301,58.00,40844,50.06,32626,54.16,33169,55.27,27955,58.65,33552,59.67,28137,63.91,69514,51.64,55014,55.99,35952,48.44,28352,52.86,13463,52.23,10494,57.19,568884,53.39,464048,57.17
2013.14,39944,45.66,31781,49.28,75706,53.47,61479,56.92,11620,54.96,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.36,50151,54.38,41691,57.66,52319,54.95,42301,58.00,40844,50.07,32626,54.16,33169,55.27,27955,58.65,33552,59.67,28137,63.91,69514,51.64,55014,55.99,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.17
2013.15,39944,45.66,31781,49.29,75706,53.47,61479,56.93,11620,54.96,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.36,50151,54.38,41691,57.66,52319,54.95,42301,58.00,40844,50.07,32626,54.16,33169,55.27,27955,58.65,33552,59.67,28137,63.92,69514,51.64,55014,55.99,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.17
2013.16,39944,45.67,31781,49.29,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.36,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.07,32626,54.16,33169,55.27,27955,58.65,33552,59.69,28137,63.92,69514,51.64,55014,56.00,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.17
2013.17,39944,45.67,31781,49.29,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.92,69514,51.65,55014,56.00,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.18,39944,45.67,31781,49.29,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.00,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.19,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.00,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.20,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.00,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.21,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.00,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.22,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.59,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.01,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.23,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.60,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.01,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.24,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.60,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.01,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.25,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.60,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.01,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.26,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.60,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.01,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.27,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.60,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.01,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.28,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.60,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.01,35952,48.44,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
2013.29,39944,45.67,31781,49.30,75706,53.47,61479,56.93,11620,54.97,9463,58.09,76511,56.25,64402,59.64,36139,56.60,30353,60.37,50151,54.39,41691,57.67,52319,54.95,42301,58.00,40844,50.08,32626,54.17,33169,55.27,27955,58.65,33552,59.69,28137,63.93,69514,51.65,55014,56.01,35952,48.45,28352,52.87,13463,52.23,10494,57.19,568884,53.40,464048,57.18
